City ID,Category Name,Products
31,Best Seller,ADDONFG30|ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
31,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
31,Soft Toys,adon10|ADDONFG21
31,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
31,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
34,Best Seller,ADDONFG30|ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
34,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
34,Soft Toys,adon10|ADDONFG21
34,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
34,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
36,Best Seller,ADDONFG30|ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
36,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
36,Soft Toys,adon10|ADDONFG21
36,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
36,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
39,Best Seller,ADDONFG30|ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
39,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
39,Soft Toys,adon10|ADDONFG21
39,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
39,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
40,Best Seller,ADDONFG30|ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
40,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
40,Soft Toys,adon10|ADDONFG21
40,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
40,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
75,Best Seller,ADDONFG30|ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
75,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
75,Soft Toys,adon10|ADDONFG21
75,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
75,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10541,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10541,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10541,Soft Toys,adon10|ADDONFG21
10541,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10541,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10542,Best Seller,ADDONFG30|ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10542,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10542,Soft Toys,adon10|ADDONFG21
10542,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10542,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10543,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10543,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10543,Soft Toys,adon10|ADDONFG21
10543,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10543,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10544,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10544,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10544,Soft Toys,adon10|ADDONFG21
10544,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10544,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10545,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
