Categories in Header,Sub-Categories Under Non-Clickable Name,Sub-Categories,Sub-Categories URL's
Valentine's Day,Gift Category,Valentine Cakes,valentines-day/valentines-day-cake
,,Valentine Flowers,valentines-day/valentines-day-flowers
,,Valentine Combos,valentines-day/valentines-day-combo
,,Sale,valentines-day/sale
,,Valentine Gifts,valentines-day/valentines-day-gift
,,Serenades,valentines-day/serenades
,Valentine Week,Rose Day,rose-day
,,Propose Day,propose-day
,,Chocolate Day,chocolate-day
,,Teddy Day,teddy-day
,,Promise Day,promise-day
,,Hug Day,hug-day
,,Kiss Day,kiss-day
,,Valentine Day,valentines.php
All Cakes,By Type,Regular Cakes,regular-cakes
,,Designer Cream Cakes,designer-cream-cake
,,Photo Cakes,photo-cakes
,,Floral Cakes,floral-birthday-cakes
,,Luxury Design Cakes,premium-cakes
,,Experience Gifts,experience-gift-ideas
,,Heart Shape Cakes,heart-shape
,,Number Cakes,number-cakes
,,Alphabet Cake,alphabet-cake
,,Multi Tier Cakes,multi-tier-cakes
,,Dry Cakes,dry-cakes
,,Cup Cakes,cup-cakes
,By Flavours,Chocolate Cakes,regular-cakes/chocolate-cakes
,,Black Forest Cakes,regular-cakes/black-forest-cakes
,,Butterscotch Cakes,regular-cakes/butterscotch-cakes
,,Vanilla Cakes,regular-cakes/vanilla-cakes
,,Pineaapple Cakes,regular-cakes/pineapple-cakes
,,Chocolate Truffle,chocolate-truffle
,,Strawberry Cakes,regular-cakes/strawberry-cakes
,,Fruit Cakes,regular-cakes/fruit-cakes
,,Red Velvet Cake,regular-cakes/red-velvet
,,Mango Cake,regular-cakes/mango-cakes
,,White Forest Cakes,regular-cakes/white-forest-cakes
,,Dark Chocolate Cakes,dark-chocolate-cakes
,,Coffee Cakes,regular-cakes/coffee-cakes
,,Kiwi Cakes,regular-cakes/kiwi-cakes
,,Blueberry Cakes,regular-cakes/blueberry-cakes
,Premium Flavours,Classic Flavours,classic-cakes
,,Ferrero Rocher Cakes,ferrero-rocher-cakes
,,Oreo Cakes,regular-cakes/oreo-cakes
,,Cheese Cakes,regular-cakes/cheese-cakes
,,Rasmalai Cakes,rasmalai-cake
,,Fusion Cakes,fusion-cakes
,,Tiramisu,regular-cakes/tiramisu-cakes
,,Ice Cream Cakes,regular-cakes/ice-cream-cakes
,,Chocolate Overload,chocolate-overload-cakes
,,Kit Kat Cake,kit-kat-cakes
,,Rainbow Cakes,rainbow-cakes
Designer Cakes,Cartoon Cakes,Peppa Pig Cakes,cartoon-cakes/peppa-pig
,,Frozen Theme Cakes,cartoon-cakes/frozen
,,Avengers Cake,cartoon-cakes/avengers
,,Masha & Bear,cartoon-cakes/masha-and-the-bear-cake
,,Coco Melon,cartoon-cakes/coco-melon-cakes
,,Roblox Theme Cakes,custom-theme-cakes/roblox-cakes
,,Minion Cakes,cartoon-cakes/minion
,,Animal Theme,cartoon-cakes/animal-cakes
,,Jungle Theme Cakes,cartoon-cakes/jungle-book
,,Train Shape Cake,cartoon-cakes/train-them-cakes
,,Space Theme,cartoon-cakes/space-theme-cakes
,,Jurrasic Park Cakes,cartoon-cakes/jurassic-park
,,Disney Princess Cakes,cartoon-cakes/barbie
,,All Cartoon Cakes,cartoon-cakes
,By Profession,Doctor,cakes-by-profession/doctor
,,Traveller,cakes-by-profession/traveller
,,Engineer,cakes-by-profession/engineers
,,Soldier,cakes-by-profession/soldier
,,Cabin Crew,cakes-by-profession/cabin-crew
,,Advocate,cakes-by-profession/lawyer-cakes
,,DJ,cakes-by-profession/dj
,,Teacher,cakes-by-profession/teacher
,,Musician,cakes-by-profession/cakes-for-musicians
,,All Cakes By Profession,cakes-by-profession
,By Traits/Hobbies,Biker,custom-theme-cakes/bikers
