Pincode,Vendor name
110001,3
110002,3
110003,3
110004,3
110005,3
110006,3
110007,3
110008,3
110009,3
110010,3
110011,3
110012,3
110013,3
110014,3
110015,3
110016,3
110017,3
110018,3
110019,3
110020,13
110021,3
110022,3
110023,3
110024,3
110025,13
110026,3
110027,3
110028,3
110029,3
110030,3
110031,3
110032,13
110033,3
110034,3
110035,3
110036,3
110037,25
110038,3
110039,3
110040,3
110041,3
110042,3
110043,25
110044,13
110045,3
110046,3
110047,25
110048,3
110049,3
110051,13
110052,13
110053,13
110054,3
110055,3
110056,3
110057,3
110058,3
110059,3
110060,3
110061,3
110062,3
110063,3
110064,3
110065,3
110066,3
110067,3
110068,3
110069,3
110070,3
110071,25
110072,25
110073,25
110074,3
110075,25
110076,13
110077,25
110078,25
110080,3
110081,3
110082,3
110083,3
110084,3
110085,3
110086,3
110087,3
110088,3
110089,3
110089,3
110090,13
110091,13
110092,13
110093,13
110094,13
110095,13
110096,13
110097,13
121001,3
121002,3
121003,3
121004,3
121005,3
121006,3
121007,3
121008,3
121009,3
121010,3
121012,3
121013,3
122001,25
122002,25
122003,25
122004,25
122005,25
122006,25
122007,25
122008,25
122009,25
122010,25
122011,25
122015,25
122016,25
122017,25
122018,25
122022,25
122051,25
122052,25
122101,25
122102,25
122103,33
122413,25
122504,25
122505,25
122506,25
134107,29
134108,29
134109,29
134111,29
134112,29
134113,29
134114,29
134115,29
134116,29
134117,29
140107,29
140301,29
140307,29
140308,29
140603,29
140604,29
140901,29
160001,29
160002,29
160003,29
160004,29
160005,29
160006,29
160007,29
160008,29
160009,29
160010,29
160011,29
160012,29
160013,29
160014,29
160015,29
160016,29
160017,29
160018,29
160019,29
160020,29
160021,29
160022,29
160023,29
160024,29
160025,29
160026,29
160027,29
160028,29
160029,29
160030,29
160031,29
160032,29
160033,29
160034,29
160035,29
160036,29
160037,29
160038,29
160039,29
160040,29
160041,29
160042,29
160043,29
160044,29
160045,29
160046,29
160047,29
160048,29
160049,29
160050,29
160051,29
160052,29
160053,29
160054,29
160055,29
160056,29
160057,29
160058,29
160059,29
160060,29
160061,29
160062,29
160063,29
160064,29
160065,29
160066,29
160067,29
160068,29
160069,29
160070,29
160071,29
160101,29
160102,29
160104,29
161101,29
201001,13
201002,13
201003,13
201004,13
201005,13
201006,13
201007,13
201008,13
201009,13
201010,13
201011,13
201012,13
201013,13
201014,13
201015,13
201016,13
201017,13
201019,13
201102,13
201103,13
201301,13
201303,13
201304,13
201305,13
201306,13
201307,13
201308,13
201309,13
201310,13
201311,13
201312,13
201313,13
201314,13
201318,13
203207,13
212011,70
221001,70
221002,70
221003,70
221004,70
221005,70
221006,70
221007,70
221008,70
221010,70
221011,70
221100,70
221102,70
221103,70
221104,70
221106,70
221107,70
221108,70
221109,70
221112,70
221202,70
226001,73
226002,73
226003,73
226004,73
226005,73
226006,73
226007,73
226008,73
226009,73
226010,73
226011,73
226012,73
226014,73
226015,73
226016,73
226017,73
226018,73
226019,73
226020,73
226021,73
226022,73
226023,73
226024,73
226025,73
226026,73
226027,73
226028,73
226029,73
226030,73
226031,73
226201,73
226202,73
226301,73
226303,73
226501,73
500001,62
500003,62
500004,62
500006,62
500007,62
500008,62
500009,62
500010,62
500010,62
500011,62
500012,62
500013,62
500014,62
500014,62
500015,62
500016,62
500017,62
500018,62
500020,62
500022,62
500023,62
500024,62
500025,62
500026,62
500027,62
500028,62
500029,62
500032,62
500033,62
500034,62
500035,62
500036,62
500037,62
500038,62
500039,62
500040,62
500041,62
500042,62
500044,62
500045,62
500047,62
500048,62
500049,62
500050,62
500051,62
500054,62
500055,62
500056,62
500057,62
500058,62
500059,62
500060,62
500061,62
500062,62
500063,62
500067,62
500068,62
500070,62
500071,62
500072,62
500073,62
500074,62
500076,62
500079,62
500080,62
500081,62
500082,62
500083,62
500084,62
500085,62
500087,62
500089,62
500090,62
500092,62
500094,62
500095,62
500096,62
500097,62
500098,62
500100,62
500100,62
500101,62
800001,109
800002,109
800003,109
800004,109
800005,109
800006,109
800007,109
800008,109
800009,109
800010,109
800011,109
800012,109
800013,109
800014,109
800015,109
800016,109
800017,109
800018,109
800019,109
800020,109
800021,109
800022,109
800023,109
800024,109
800025,109
800026,109
800027,109
800028,109
800029,109
800030,109
801503,109
801505,109
801506,109
801507,109
