product_id,Category ID
5,209
6,75
7,75
8,75
10,75
14,184
15,65
16,4
17,7
18,170
19,55
20,243
21,219
23,55
24,376
25,75
26,209
27,386
29,377
30,110
31,376
32,9
33,75
34,262
35,55
38,211
39,201
40,201
41,262
42,4
43,126
44,4
45,112
46,376
47,243
48,158
49,219
50,55
51,65
54,9
55,376
56,9
57,9
58,377
59,55
60,385
61,9
62,9
63,126
65,55
66,376
67,65
68,160
69,164
70,75
72,4
74,4
75,4
76,4
77,4
79,4
80,4
81,4
82,75
83,4
84,65
86,4
87,90
88,4
89,65
90,4
93,75
94,4
95,4
96,75
97,4
98,4
99,4
100,4
102,4
103,4
104,4
105,4
106,4
107,75
108,75
110,242
112,4
114,55
115,4
116,112
117,4
118,75
121,4
122,65
123,65
124,4
125,4
126,4
127,75
128,75
129,168
130,168
131,168
132,75
133,55
134,75
136,4
137,4
138,75
139,168
140,4
142,4
143,75
144,4
145,4
147,55
148,4
149,75
150,90
151,65
152,65
153,65
154,65
155,65
156,65
157,437
158,160
159,4
160,437
161,158
162,55
163,170
164,4
165,246
166,75
167,55
168,75
170,4
171,205
172,243
173,75
174,242
175,242
176,242
177,242
178,4
179,55
180,164
181,4
182,4
183,164
184,158
185,164
186,164
187,164
188,164
189,164
190,164
191,164
192,164
193,4
194,158
195,158
196,4
197,242
198,164
199,75
200,91
201,91
202,164
203,4
204,4
205,4
206,4
207,4
208,9
209,9
210,164
211,4
212,75
213,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,65
243,4
244,4
245,4
246,342
247,4
248,4
249,4
250,4
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,75
262,376
264,65
265,4
266,4
267,4
268,4
269,4
270,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
284,4
285,75
286,242
287,4
288,4
289,75
290,4
291,4
292,4
293,4
294,4
295,4
296,112
297,168
298,376
299,376
300,64
301,4
302,4
303,4
304,4
305,168
306,168
307,4
308,65
309,4
310,4
311,4
312,4
313,4
314,4
315,48
316,4
317,4
318,4
319,4
320,243
321,4
322,4
323,4
324,4
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,4
335,4
336,4
337,4
338,75
339,4
340,4
341,4
342,207
343,4
344,4
345,4
346,4
348,207
349,207
351,243
354,4
355,243
356,4
357,112
358,4
359,110
360,9
361,4
362,4
363,65
364,90
365,90
366,90
367,11
368,11
369,11
370,11
371,158
372,11
373,158
374,11
375,90
376,11
377,11
378,11
379,11
380,243
381,11
382,243
383,11
384,11
385,168
386,90
387,168
388,11
389,11
390,11
391,112
392,11
393,11
394,11
395,11
396,11
397,11
398,11
399,11
400,11
401,11
402,243
403,158
404,11
405,168
406,11
407,11
408,90
409,168
410,164
411,243
412,11
413,90
414,90
415,90
417,168
418,4
419,9
420,205
421,90
422,371
423,90
424,55
425,371
426,228
427,90
428,75
429,65
430,90
431,91
432,158
433,91
434,91
435,91
436,91
437,91
438,126
439,126
440,260
441,90
442,260
443,376
444,376
445,354
446,75
447,164
448,158
449,205
450,205
451,90
452,164
453,164
454,164
455,164
456,164
457,164
458,164
459,164
460,164
461,164
462,90
463,164
464,164
465,164
466,164
467,164
468,164
469,164
470,164
471,164
472,164
473,90
474,164
475,91
476,91
477,91
478,55
479,201
480,112
481,55
482,211
483,211
484,90
485,262
486,56
487,56
488,207
489,228
490,376
491,376
492,376
493,91
494,258
495,90
496,112
497,55
498,207
499,258
500,376
501,170
502,203
503,254
504,243
505,211
506,90
508,371
509,164
510,243
511,184
512,184
513,377
514,243
515,376
516,91
517,90
518,199
519,65
520,55
521,199
522,243
523,190
524,184
525,164
526,55
527,246
528,64
529,90
530,243
531,164
532,252
533,126
534,126
535,126
536,126
537,91
538,91
539,252
540,90
541,91
542,252
543,9
544,190
545,168
546,168
547,91
548,213
549,9
550,9
551,90
552,9
553,9
554,376
555,9
556,310
557,9
558,9
560,160
561,9
562,90
563,9
564,209
565,377
566,158
567,158
568,125
569,9
570,207
571,112
572,209
573,90
574,207
575,286
576,228
577,9
578,184
579,209
580,201
581,377
582,126
583,205
584,243
585,371
586,91
587,91
588,91
589,91
590,91
591,91
592,91
593,91
594,91
595,56
597,158
598,209
599,376
600,9
601,9
602,9
603,168
604,9
605,431
606,371
607,431
608,9
609,9
610,9
611,9
612,9
613,122
614,168
615,56
616,122
617,168
618,7
619,7
620,56
621,126
622,56
623,90
624,90
625,122
626,90
627,90
628,75
629,376
630,7
631,4
632,55
633,168
634,168
635,168
636,168
637,168
638,126
639,168
640,168
641,75
642,55
643,55
644,55
645,55
646,75
647,184
648,184
649,168
650,184
651,184
652,158
653,160
654,158
655,184
656,184
657,243
658,168
659,243
660,168
661,168
662,246
663,112
664,112
665,65
666,158
667,158
668,252
669,205
670,168
671,254
672,90
673,90
674,377
675,246
676,243
677,376
678,168
679,246
680,122
681,168
682,190
683,168
684,327
685,125
686,90
687,354
688,65
689,205
690,243
691,209
692,201
693,207
694,243
695,160
696,254
697,219
698,164
699,310
700,264
701,203
702,55
703,243
705,9
706,126
707,126
708,376
709,376
710,286
711,201
712,243
713,91
714,9
715,443
716,194
717,126
718,126
719,126
720,327
721,164
722,164
723,243
724,376
725,243
726,55
727,9
728,201
729,243
730,262
732,91
733,8
734,122
736,243
737,4
738,4
739,4
740,4
741,4
742,4
743,4
744,4
