SKU,Product Name,egg/eggless,variant,description,price
CAKE00115,Truffle Cake ,"CAKE00115,CAKE10570","CAKE00115,CAKE0091,CAKE9799",Truffle Cake Half Kg <strong>(Packet of Candles & Knife come along with cake)</strong>,799
CAKE0091,Truffle Cake ,"CAKE00115,CAKE10570","CAKE00115,CAKE0091,CAKE9799",Truffle Cake 1kg <strong>(Packet of Candles & Knife come along with cake)</strong>,1149
CAKE9799,Truffle Cake ,"CAKE00115,CAKE10570","CAKE00115,CAKE0091,CAKE9799",Truffle Cake 2kg <strong>(Packet of Candles & Knife come along with cake)</strong>,2149
CAKE10570,Truffle Cake  ,"CAKE00115,CAKE10570","CAKE10570,CAKE10571,CAKE10572",Truffle Cake Half Kg Eggless <strong>(Packet of Candles & Knife come along with cake)</strong>,849
CAKE10571,Truffle Cake  ,"CAKE00115,CAKE10570","CAKE10570,CAKE10571,CAKE10572",Truffle Cake 1kg Eggless <strong>(Packet of Candles & Knife come along with cake)</strong>,1199
CAKE10572,Truffle Cake  ,"CAKE00115,CAKE10570","CAKE10570,CAKE10571,CAKE10572",Truffle Cake 2kg Eggless <strong>(Packet of Candles & Knife come along with cake)</strong>,2199
CAKE11415,Belgian Choco Cake ,"CAKE11417,CAKE12347","CAKE11417,CAKE11415,CAKE11413",Belgian Choco Cream Cake 1kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,1599
CAKE12344,Belgian Choco Cake  ,"CAKE11417,CAKE12347","CAKE12347,CAKE12344,CAKE12351",Belgian Choco Cream Cake 1kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,1649
CAKE11413,Belgian Choco Cake ,"CAKE11417,CAKE12347","CAKE11417,CAKE11415,CAKE11413",Belgian Choco Cream Cake 2kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,2799
CAKE12351,Belgian Choco Cake  ,"CAKE11417,CAKE12347","CAKE12347,CAKE12344,CAKE12351",Belgian Choco Cream Cake 2kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,2849
CAKE11417,Belgian Choco Cake ,"CAKE11417,CAKE12347","CAKE11417,CAKE11415,CAKE11413",Belgian Choco Cream Cake Half kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,1099
CAKE12347,Belgian Choco Cake  ,"CAKE11417,CAKE12347","CAKE12347,CAKE12344,CAKE12351",Belgian Choco Cream Cake Half kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,1149
CAKE11421,Fresh Ultimate Happiness Cake ,"CAKE11421,CAKE12331","CAKE11421,CAKE11420",Fresh Ultimate Happiness Cream Cake 1kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,1599
CAKE12331,Fresh Ultimate Happiness Cake  ,"CAKE11421,CAKE12331","CAKE12331,CAKE12329",Fresh Ultimate Happiness Cream Cake 1kg Eggless.<strong>(Packet of Candles & Knife come along with cake)</strong>,1649
CAKE11420,Fresh Ultimate Happiness Cake ,"CAKE11421,CAKE12331","CAKE11421,CAKE11420",Fresh Ultimate Happiness Cream Cake 2kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,2799
CAKE12329,Fresh Ultimate Happiness Cake  ,"CAKE11421,CAKE12331","CAKE12331,CAKE12329",Fresh Ultimate Happiness Cream Cake 2kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,2849
CAKE11460,Exotic Blackforest Cake ,"CAKE11462,CAKE11009","CAKE11462,CAKE11460,CAKE11459",Exotic Blackforest Cream Cake 1kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,1499
CAKE11014,Exotic Blackforest Cake  ,"CAKE11462,CAKE11009","CAKE11009,CAKE11014,CAKE11012",Exotic Blackforest Cream Cake 1kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,1549
CAKE11459,Exotic Blackforest Cake ,"CAKE11462,CAKE11009","CAKE11462,CAKE11460,CAKE11459",Exotic Blackforest Cream Cake 2kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,2699
CAKE11012,Exotic Blackforest Cake  ,"CAKE11462,CAKE11009","CAKE11009,CAKE11014,CAKE11012",Exotic Blackforest Cream Cake 2kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,2749
CAKE11462,Exotic Blackforest Cake ,"CAKE11462,CAKE11009","CAKE11462,CAKE11460,CAKE11459",Exotic Blackforest Cream Cake Half kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,999
CAKE11009,Exotic Blackforest Cake  ,"CAKE11462,CAKE11009","CAKE11009,CAKE11014,CAKE11012",Exotic Blackforest Cream Cake Half kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,1049
CAKE11432,Choco Celebration Cake ,"CAKE11488,CAKE12338","CAKE11488,CAKE11432,CAKE11429",Chocolate Cream Cake 1kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,1499
CAKE12336,Choco Celebration Cake  ,"CAKE11488,CAKE12338","CAKE12338,CAKE12336,CAKE12327",Chocolate Cream Cake 1kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,1549
CAKE11429,Choco Celebration Cake ,"CAKE11488,CAKE12338","CAKE11488,CAKE11432,CAKE11429",Chocolate Cream Cake 2kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,2699
CAKE12327,Choco Celebration Cake  ,"CAKE11488,CAKE12338","CAKE12338,CAKE12336,CAKE12327",Chocolate Cream Cake 2kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,2749
CAKE11488,Choco Celebration Cake ,"CAKE11488,CAKE12338","CAKE11488,CAKE11432,CAKE11429",Chocolate Cream Cake Half kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,999
CAKE12338,Choco Celebration Cake  ,"CAKE11488,CAKE12338","CAKE12338,CAKE12336,CAKE12327",Chocolate Cream Cake Half kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,1049
CAKE11493,Rich Truffle Cake ,"CAKE11496,CAKE11005","CAKE11496,CAKE11493,CAKE11490",Rich Chocolate Truffle Cake 1kg. (Full of cherries on top with 2017 number candles) <strong>(Packet of Candles & Knife come along with cake)</strong>,1499
CAKE11018,Rich Truffle Cake  ,"CAKE11496,CAKE11005","CAKE11005,CAKE11018,CAKE11016",Rich Chocolate Truffle Cake 1kg Eggless. (Full of cherries on top with 2017 number candles) <strong>(Packet of Candles & Knife come along with cake)</strong>,1549
CAKE11490,Rich Truffle Cake ,"CAKE11496,CAKE11005","CAKE11496,CAKE11493,CAKE11490",Rich Chocolate Truffle Cake 2kg. (Full of cherries on top & 2017 Numbers Candle)<strong>(Packet of Candles & Knife come along with cake)</strong>,2699
CAKE11016,Rich Truffle Cake  ,"CAKE11496,CAKE11005","CAKE11005,CAKE11018,CAKE11016",Rich Chocolate Truffle Cake 2kg Eggless. (Full of cherries on top with 2017 number candles)<strong>(Packet of Candles & Knife come along with cake)</strong>,2749
CAKE11496,Rich Truffle Cake ,"CAKE11496,CAKE11005","CAKE11496,CAKE11493,CAKE11490",Rich Chocolate Truffle Cake Half kg. (Full of cherries on top with 2017 number candles)<strong>(Packet of Candles & Knife come along with cake)</strong>,1099
CAKE11005,Rich Truffle Cake  ,"CAKE11496,CAKE11005","CAKE11005,CAKE11018,CAKE11016",Rich Chocolate Truffle Cake Half kg Eggless. (Full of cherries on top with 2017 number candles) <strong>(Packet of Candles & Knife come along with cake)</strong>,1149
CAKE12224,Chocolaty Birthday Cake ,"CAKE12123,CAKE10817","CAKE12123,CAKE12224,CAKE12222",Chocolaty Birthday Cream Cake 1kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,1499
CAKE10823,Chocolaty Birthday Cake  ,"CAKE12123,CAKE10817","CAKE10817,CAKE10823,CAKE10821",Chocolaty Birthday Cream Cake 1kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,1549
CAKE12222,Chocolaty Birthday Cake ,"CAKE12123,CAKE10817","CAKE12123,CAKE12224,CAKE12222",Chocolaty Birthday Cream Cake 2kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,2699
CAKE10821,Chocolaty Birthday Cake  ,"CAKE12123,CAKE10817","CAKE10817,CAKE10823,CAKE10821",Chocolaty Birthday Cream Cake 2kg Eggless. <strong>(Packet of Candles & Knife come along with cake)</strong>,2749
CAKE12123,Chocolaty Birthday Cake ,"CAKE12123,CAKE10817","CAKE12123,CAKE12224,CAKE12222",Chocolaty Birthday Cream Cake Half kg. <strong>(Packet of Candles & Knife come along with cake)</strong>,999
