Product ID,Product SKU,Egg/Eggless,Variants
1254,CAKE8644,"CAKE8644,CAKE12804","CAKE8644,CAKE8650"
1255,CAKE12804,"CAKE8644,CAKE12804","CAKE12804,CAKE12808"
1276,CAKE8700,"CAKE8700,CAKE12771","CAKE8700,CAKE8698"
1277,CAKE12771,"CAKE8700,CAKE12771","CAKE12771,CAKE12785"
1248,CAKE8639,"CAKE8639,CAKE12774","CAKE8639,CAKE8642"
1249,CAKE12774,"CAKE8639,CAKE12774","CAKE12774,CAKE12777"
1260,CAKE8658,"CAKE8658,CAKE12770","CAKE8658,CAKE8656"
1261,CAKE12770,"CAKE8658,CAKE12770","CAKE12770,CAKE12769"
1256,CAKE8650,"CAKE8650,CAKE12808","CAKE8644,CAKE8650"
1257,CAKE12808,"CAKE8650,CAKE12808","CAKE12804,CAKE12808"
1278,CAKE8698,"CAKE8698,CAKE12785","CAKE8700,CAKE8698"
1279,CAKE12785,"CAKE8698,CAKE12785","CAKE12771,CAKE12785"
1250,CAKE8642,"CAKE8642,CAKE12777","CAKE8639,CAKE8642"
1251,CAKE12777,"CAKE8642,CAKE12777","CAKE12774,CAKE12777"
1262,CAKE8656,"CAKE8656,CAKE12769","CAKE8658,CAKE8656"
1263,CAKE12769,"CAKE8656,CAKE12769","CAKE12770,CAKE12769"
1258,CAKE8648,"CAKE8648,CAKE12807","CAKE8644,CAKE8650"
1259,CAKE12807,"CAKE8648,CAKE12807","CAKE12804,CAKE12808"
1280,CAKE8692,"CAKE8692,CAKE12783","CAKE8700,CAKE8698"
1281,CAKE12783,"CAKE8692,CAKE12783","CAKE12771,CAKE12785"
1252,CAKE8654,"CAKE8654,CAKE12776","CAKE8639,CAKE8642"
1253,CAKE12776,"CAKE8654,CAKE12776","CAKE12774,CAKE12777"
1264,CAKE8696,"CAKE8696,CAKE12772","CAKE8658,CAKE8656"
1265,CAKE12772,"CAKE8696,CAKE12772","CAKE12770,CAKE12769"
1484,CAKE42308,"CAKE42308,CAKE42285","CAKE42307,CAKE42308,CAKE42306"
1485,CAKE42285,"CAKE42308,CAKE42285","CAKE42284,CAKE42285,CAKE42282"
1486,CAKE42306,"CAKE42306,CAKE42282","CAKE42307,CAKE42308,CAKE42306"
1487,CAKE42282,"CAKE42306,CAKE42282","CAKE42284,CAKE42285,CAKE42282"
1488,CAKE42307,"CAKE42307,CAKE42284","CAKE42307,CAKE42308,CAKE42306"
