SKU,Description
RK1,A Simple Red Crystal Rakhi with roli chawal
RK1025,"5 pearl rakhi with a blue thread, Small Blue Card, Cadbury Dairy Milk Chocolate 14gms, GANESH ROLLI CHAWAL"
RK1013,"Cushion 12x12, Temptations Rum Raisins 72gms, Temptations Almond Treat 72gms"
RK1015,"Cushion 12x12, Temptations Cashew Appeal 72gms"
RK1017,"Soan Cake 250gms, 5 Assorted Chocolate, Why God made Brothers Cushion 12x12"
RK1019,"Cushion 12x12, Haldiram Tin Kesar Rasbhari 1000gms"
RK900,"1 Rishi Designer Blue Flower With Yellow Beads, 1 Small Yellow Cushion, 1 Ceramic White Mug with Print Height 4 Inches & Diameter 3 Inches, 1 Assorted Square Chocolates 100gms, 1 Roli Chawal"
RK1023,"Cushion 12x12, Cadbury Celebrations 131.3gms"
RK111,"2 Rudraksh Rakhi with brown and red beads threaded along, 2 Dairy Milk Silk of 60 gms each, 2 decorative pieces with Roli Chawal."
RK680,"5 Kriti Red Half Stone, 1 Choco-Swiss Pretty Good Heavenly Confections 85gm, Roli Chawal"
RK396,"1 Kriti Leather Brown Finish, 1 Cadbury Celebrations Chocolate Box 131.3 gm, 1 Elepahant Small Card, 1 Roli Chawal"
RK80,"Rakhi, Soan Papdi 250gms, 2 Small Golden Boxes with Roli Chawal,"
RK1850,"2 Vedika Colorful Beads 2016, 2 Cadbury Celebrations Chocolate Box 131.3 gm, 1 Elepahant Small Card, 1 Roli Chawal"
RK589,"1 Shivam Long Golden N Red Beads Rakhi Shubh, 1 DeMiami Rocher 8 PCS, 1 Elepahant Small Card, 1 Roli Chawal"
RK438,"2 Rishi American Diamond Ganesha Face Small, 2 Small Yellow Cushion, 1 Roli Chawal"
RK1148,"5 Pearl rakhi in blue string with complimentary roli chawal, 3 Small yellow cushion"
RK539,"1 Kriti Light Green Diamond, 1 Cadbury Celebrations Chocolate Box 131.3 gm, 1 Elepahant Small Card, 1 Roli Chawal, Rakhi Card"
RK1027,"Sindle pearl rakhi with green thread, Blue Potley, 2 Cadbury Dairy Milk Chocolate 14gms, Nestle Kitkat 18gms, Cadbury Five Star 21.5g, Roli Chawal"
RK1142,"Small yellow cushion, Two red rakhi thread, Roli Chawal"
RK648,"1 Kriti Big Stone With Sqaure Metal Frame, 1 Cadbury Celebrations Chocolate Box 131.3 gm, 1 Elepahant Small Card, 1 Roli Chawal"
RK671,"1 Kriti Big Stone With Sqaure Metal Frame, 4 Cadbury Dairy Milk Chocolate 12.5gm, 1 Small Yellow Cushion, 1 Golden Ganesh with Roli Chawal"
RK1639,"1 new Rakhi, 1 new Rakhi, 1 Bang Suction Ball Toy, 25 Cadbury Eclairs, 1 Roli Chawal"
RK1085,"White mug with print, Pearl rakhi in blue string, Roli Chawal, Small Blue Card"
RK808,"3 Small yellow cushion, Roli chawal, 3 orange and red Ganesh rakhis"
RK1345,"1 Shree Bangle Bracelet AD, 1 Shree Pink Swastik"
RK1119,"Pearl rakhi in blue string, Pearl rakhi in red string, Roli Chawal, Small blue card, Small golden card, Cadbury Dairy Milk Fruit & Nut 38gms"
RK1078,"1 Kriti Red Flower, Golden Foil N Stone Rakhi, 1 Ferrero Rocher Chocolate 16 pcs., 1 Ceramic White Mug with Print Height 4 Inches & Diameter 3 Inches, 1 Cushion 12x12 inches, Small Blue Card,Roli Chawal"
RK1126,"Single Rudraksh rakhi with cream and red beads, Red and golden beaded moli rakhi, Haldiram Kaju Burfi 250gms, Haldiram Navrattan 200gms and Roli Chawal"
RK1663,"1 Rishi Designer Green Square Beads With Kundan, 1 Soan Papdi 250gms, 1 Black Ceramic Vase 4 Inches, 1 Small Blue Card, 1 Roli Chawal"
RK1389,"1 Rakhi, 1 Roli Chawal"
RK1135,A golden pooja thaali with roli chawal & rakhi
