category id,category url,SKU,Sort
56,anniversary/chocolate-cakes,CAKE9801,1
56,anniversary/chocolate-cakes,CAKE42367,2
56,anniversary/chocolate-cakes,CAKE00115,5
56,anniversary/chocolate-cakes,CAKE8114,4
56,anniversary/chocolate-cakes,CAKE37990,3
56,anniversary/chocolate-cakes,CAKE8627,7
56,anniversary/chocolate-cakes,CAKE38760,8
56,anniversary/chocolate-cakes,F17-CAKECONH310,11
56,anniversary/chocolate-cakes,CAKE37976,12
56,anniversary/chocolate-cakes,CAKE8708,10
56,anniversary/chocolate-cakes,CAKE9404,13
56,anniversary/chocolate-cakes,CAKE8575,14
56,anniversary/chocolate-cakes,CAKE8919,15
56,anniversary/chocolate-cakes,F17-CAKECONH133,16
56,anniversary/chocolate-cakes,CAKE9207,17
56,anniversary/chocolate-cakes,CAKE8883,18
56,anniversary/chocolate-cakes,F17-CAKECONH1012,19
133,black-forest-cakes,CAKE8626,2
133,black-forest-cakes,CAKE9649,1
133,black-forest-cakes,CAKE6144,3
133,black-forest-cakes,CAKE8122,5
133,black-forest-cakes,CAKE11462,6
133,black-forest-cakes,CAKE8876,8
133,black-forest-cakes,CAKE9739,7
133,black-forest-cakes,CAKE42177,4
133,black-forest-cakes,F17-CAKECONH253,9
133,black-forest-cakes,CAKE42307,10
133,black-forest-cakes,CAKE41936,11
133,black-forest-cakes,CAKE149,12
133,black-forest-cakes,CAKE6054,13
133,black-forest-cakes,CAKE6048,14
57,anniversary/black-forest-cakes,CAKE8626,1
57,anniversary/black-forest-cakes,CAKE9649,2
57,anniversary/black-forest-cakes,CAKE6144,3
57,anniversary/black-forest-cakes,CAKE8122,4
57,anniversary/black-forest-cakes,CAKE11462,5
57,anniversary/black-forest-cakes,CAKE8876,6
57,anniversary/black-forest-cakes,CAKE9739,7
57,anniversary/black-forest-cakes,CAKE42177,8
57,anniversary/black-forest-cakes,F17-CAKECONH253,9
57,anniversary/black-forest-cakes,CAKE42307,10
