category_id,url,sku,sequencing
343,gifts for sister,RK1005,1
343,gifts for sister,F17-EXDPLANT1,2
343,gifts for sister,EXFNP202_CHOCO_BOQ,3
343,gifts for sister,RK1916,4
343,gifts for sister,RK968,5
343,gifts for sister,RK1172,6
343,gifts for sister,EXFNP223_CHOCO_BOQ,7
343,gifts for sister,RK1003,8
343,gifts for sister,F17-EXFNP14,9
343,gifts for sister,RK958,10
343,gifts for sister,F17-EXFNP213_CHOCO_BOQ,11
343,gifts for sister,F17-EXFNP204_CHOCO_BOQ,12
343,gifts for sister,F17-EXDPLANT49,13
343,gifts for sister,RK866,14
343,gifts for sister,RK958,15
343,gifts for sister,F17-EXDFNP411,16
343,gifts for sister,CAKE9739,17
343,gifts for sister,F17-EXDPLANT50,18
343,gifts for sister,EXFNP222_CHOCO_BOQ,19
343,gifts for sister,CAKE11763,20
343,gifts for sister,EXFNP230_CHOCO_BOQ,21
343,gifts for sister,GIFTSFNP4963,22
343,gifts for sister,EXFNP244_CHOCO_BOQ,23
343,gifts for sister,F17-EXFNP235,24
