Cat ID,URL,SKU,Sequencing
342,rakhi,RKEX511,1
342,rakhi,RKEX437,2
342,rakhi,RKEX407,3
342,rakhi,RKEX428,4
342,rakhi,RKEX402,5
342,rakhi,RKEX403,6
342,rakhi,RKEX404,7
342,rakhi,RKEX405,8
342,rakhi,RKEX406,9
342,rakhi,RKEX408,10
342,rakhi,RKEX409,11
342,rakhi,RKEX410,12
342,rakhi,RKEX411,13
342,rakhi,RKEX412,14
342,rakhi,RKEX413,15
342,rakhi,RKEX414,16
342,rakhi,RKEX415,17
342,rakhi,RKEX416,18
342,rakhi,RKEX417,19
342,rakhi,RKEX418,20
342,rakhi,RKEX419,21
342,rakhi,RKEX420,22
342,rakhi,RKEX421,23
342,rakhi,RKEX422,24
342,rakhi,RKEX423,25
342,rakhi,RKEX424,26
342,rakhi,RKEX425,27
342,rakhi,RKEX426,28
342,rakhi,RKEX430,29
342,rakhi,RKEX431,30
342,rakhi,RKEX432,31
342,rakhi,RKEX433,32
342,rakhi,RKEX434,33
342,rakhi,RKEX435,34
342,rakhi,RKEX436,35
342,rakhi,RKEX438,36
342,rakhi,RKEX439,37
342,rakhi,RKEX440,38
342,rakhi,RKEX441,39
342,rakhi,RKEX442,40
342,rakhi,RKEX443,41
342,rakhi,RKEX444,42
342,rakhi,RKEX445,43
342,rakhi,RKEX451,44
342,rakhi,RKEX452,45
342,rakhi,RKEX453,46
342,rakhi,RKEX454,47
342,rakhi,RKEX456,48
342,rakhi,RKEX457,49
342,rakhi,RKEX459,50
342,rakhi,RKEX460,51
342,rakhi,RKEX461,52
342,rakhi,RKEX462,53
342,rakhi,RKEX463,54
342,rakhi,RKEX464,55
342,rakhi,RKEX465,56
342,rakhi,RKEX466,57
342,rakhi,RKEX467,58
342,rakhi,RKEX468,59
342,rakhi,RKEX469,60
342,rakhi,RKEX470,61
342,rakhi,RKEX471,62
342,rakhi,RKEX472,63
342,rakhi,RKEX473,64
342,rakhi,RKEX474,65
342,rakhi,RKEX475,66
342,rakhi,RKEX476,67
342,rakhi,RKEX477,68
342,rakhi,RKEX478,69
342,rakhi,RKEX479,70
342,rakhi,RKEX480,71
342,rakhi,RKEX481,72
342,rakhi,RKEX482,73
342,rakhi,RKEX483,74
342,rakhi,RKEX484,75
342,rakhi,RKEX485,76
342,rakhi,RKEX486,77
342,rakhi,RKEX487,78
342,rakhi,RKEX488,79
342,rakhi,RKEX489,80
342,rakhi,RKEX490,81
