category id,category url,SKU,Sort
1,flowers,F17-VRTEXFNP182,1
1,flowers,F17-EXDFNP2005,2
1,flowers,F17-EXDFNP545,3
1,flowers,F17-EXFNP29,4
1,flowers,F17-EXDFNPLW14,5
1,flowers,F17-EXDFNP541,6
1,flowers,F17-EXDFNP419,7
2,cakes,CAKE8632,1
2,cakes,CAKE00115,2
2,cakes,CAKE9330,3
2,cakes,CAKE42394,4
2,cakes,CAKE8450,5
2,cakes,CAKE9801,6
2,cakes,CAKE8626,7
2,cakes,CAKE9796,8
3,same-day-delivery,F17-VRTEXFNP182,1
3,same-day-delivery,EXP14123,2
3,same-day-delivery,F17-EXDPLANT1,3
3,same-day-delivery,F17-VRTEXFNP183,4
3,same-day-delivery,EXFNP202_CHOCO_BOQ,5
3,same-day-delivery,CAKE8632,6
3,same-day-delivery,F17-EXDPLANT32,7
3,same-day-delivery,F17-EXDFNP2014,8
3,same-day-delivery,EXFNP213_CHOCO_BOQ,9
3,same-day-delivery,F17-EXDFNP545,10
4,birthday/gifts,F17-VRTEXFNP182,1
4,birthday/gifts,GIFTSFNP4606,2
4,birthday/gifts,F17-EGCAKECONH1780,3
4,birthday/gifts,F17-EXDFNP119,4
4,birthday/gifts,F17-EXDPLANT1,5
4,birthday/gifts,GIFTSFNP2048,6
4,birthday/gifts,CAKE9801,7
4,birthday/gifts,EXFNP204_CHOCO_BOQ,8
4,birthday/gifts,F17-EXFNP74,9
4,birthday/gifts,GIFTSFNP4596,10
5,birthday/personalized-gifts,GIFTSFNP62,1
5,birthday/personalized-gifts,GIFTSFNP4602,2
5,birthday/personalized-gifts,GIFTSFNP2729,3
5,birthday/personalized-gifts,GIFTSFNP5139,4
5,birthday/personalized-gifts,GIFTSFNP4725,5
5,birthday/personalized-gifts,GIFTSFNP2372,6
5,birthday/personalized-gifts,CAKE8658,7
5,birthday/personalized-gifts,RK2202,8
5,birthday/personalized-gifts,MG639,9
5,birthday/personalized-gifts,GIFTSFNP62,10
5,birthday/personalized-gifts,GIFTSFNP4731,11
5,birthday/personalized-gifts,GIFTSFNP1953,12
5,birthday/personalized-gifts,GIFTSFNP4599,13
5,birthday/personalized-gifts,MG531,14
5,birthday/personalized-gifts,1 Personalized table top,15
5,birthday/personalized-gifts,GIFTSFNP2727,16
5,birthday/personalized-gifts,MG31,17
6,birthday/mugs,GIFTSFNP4601,1
6,birthday/mugs,GIFTSFNP4606,2
6,birthday/mugs,GIFTSFNP4734,3
6,birthday/mugs,GIFTSFNP2364,4
6,birthday/mugs,GIFTSFNP4729,5
6,birthday/mugs,GIFTSFNP4602,6
6,birthday/mugs,GIFTSFNP1661,7
6,birthday/mugs,GIFTSFNP508,8
6,birthday/mugs,GIFTSFNP4605,9
6,birthday/mugs,GIFTSFNP4724,10
6,birthday/mugs,GIFTSFNP4726,11
6,birthday/mugs,GIFTSFNP5086,12
6,birthday/mugs,FG238,13
6,birthday/mugs,GIFTSFNP4401,14
6,birthday/mugs,RK939,15
6,birthday/mugs,GIFTSFNP1908,16
6,birthday/mugs,FG241,17
6,birthday/mugs,GIFTSFNP1722,18
6,birthday/mugs,FG220,19
6,birthday/mugs,GIFTSFNP2094,20
6,birthday/mugs,GIFTSFNP5464,21
6,birthday/mugs,GIFTSFNP1953,22
6,birthday/mugs,GIFTSFNP4603,23
7,birthday/cushions,GIFTSFNP2052,1
7,birthday/cushions,GIFTSFNP62,2
7,birthday/cushions,GIFTSFNP2050,3
7,birthday/cushions,GIFTSFNP4807,4
7,birthday/cushions,GIFTSFNP2048,5
7,birthday/cushions,GIFTSFNP4736,6
7,birthday/cushions,GIFTSFNP4596,7
7,birthday/cushions,GIFTSFNP4595,8
7,birthday/cushions,GIFTSFNP4598,9
7,birthday/cushions,GIFTSFNP4718,10
7,birthday/cushions,GIFTSFNP1104,11
7,birthday/cushions,GIFTSFNP4688,12
7,birthday/cushions,GIFTSFNP4716,13
7,birthday/cushions,GIFTSFNP4713,14
7,birthday/cushions,GIFTSFNP4714,15
10,birthday/chocolates,F17-EXDFNP119,1
10,birthday/chocolates,F17-EXFNP14,2
10,birthday/chocolates,F17-EXFNP213_CHOCO_BOQ,3
10,birthday/chocolates,F17-EXDFNP408,4
10,birthday/chocolates,F17-EXFNP202_CHOCO_BOQ,5
10,birthday/chocolates,F17-EXFNP205,6
10,birthday/chocolates,F17-EXDFNPLW11,7
10,birthday/chocolates,F17-EXFNP204_CHOCO_BOQ,8
10,birthday/chocolates,F17-EXDFNP2020,9
10,birthday/chocolates,EXFNP206_CHOCO_BOQ,10
10,birthday/chocolates,EXFNP222_CHOCO_BOQ,11
10,birthday/chocolates,EXFNP230_CHOCO_BOQ,12
10,birthday/chocolates,EXFNP219_CHOCO_BOQ,13
10,birthday/chocolates,F17-EXFNP13,14
10,birthday/chocolates,F17-EXDFNP600,15
10,birthday/chocolates,CAKE8114,16
10,birthday/chocolates,F17-EXDFNP2028,17
10,birthday/chocolates,EXFNP203_CHOCO_BOQ,18
10,birthday/chocolates,EXDCHOCO15,19
10,birthday/chocolates,GIFTSFNP4462,20
10,birthday/chocolates,F17-EXDFNP76252,21
10,birthday/chocolates,CAKE8883,22
10,birthday/chocolates,EXFNP233_CHOCO_BOQ,23
10,birthday/chocolates,EXFNP250_CHOCO_BOQ,24
10,birthday/chocolates,EXDCHOCO7,25
10,birthday/chocolates,GIFTSFNP4457,26
13,birthday/cakes,CAKE00115,1
13,birthday/cakes,CAKE38653,2
13,birthday/cakes,CAKE8632,3
13,birthday/cakes,CAKE8621,4
13,birthday/cakes,CAKE8639,5
13,birthday/cakes,CAKE9801,6
13,birthday/cakes,CAKE9247,7
13,birthday/cakes,F17-EGCAKECONH1780,8
13,birthday/cakes,CAKE10604,9
13,birthday/cakes,CAKE9220,10
13,birthday/cakes,CAKE8883,11
13,birthday/cakes,F17-PHOTOCAKES4,12
13,birthday/cakes,CAKE8129,13
13,birthday/cakes,CAKE6876,14
14,birthday/chocolate-cakes,CAKE9801,1
14,birthday/chocolate-cakes,CAKE42367,2
14,birthday/chocolate-cakes,CAKE00115,3
14,birthday/chocolate-cakes,CAKE8114,4
14,birthday/chocolate-cakes,CAKE37990,5
14,birthday/chocolate-cakes,CAKE9320,6
14,birthday/chocolate-cakes,CAKE8627,7
14,birthday/chocolate-cakes,CAKE38760,8
14,birthday/chocolate-cakes,CAKE42394,9
14,birthday/chocolate-cakes,F17-CAKECONH310,10
14,birthday/chocolate-cakes,CAKE37976,11
14,birthday/chocolate-cakes,CAKE8708,12
14,birthday/chocolate-cakes,CAKE9404,13
14,birthday/chocolate-cakes,CAKE8575,14
14,birthday/chocolate-cakes,CAKE8919,15
14,birthday/chocolate-cakes,F17-CAKECONH133,16
14,birthday/chocolate-cakes,CAKE9207,17
14,birthday/chocolate-cakes,CAKE8883,18
14,birthday/chocolate-cakes,F17-CAKECONH1012,19
15,birthday/black-forest-cakes,CAKE8626,1
15,birthday/black-forest-cakes,CAKE9649,2
15,birthday/black-forest-cakes,CAKE6144,3
15,birthday/black-forest-cakes,CAKE8122,4
15,birthday/black-forest-cakes,CAKE11462,5
15,birthday/black-forest-cakes,CAKE8876,6
15,birthday/black-forest-cakes,CAKE9739,7
15,birthday/black-forest-cakes,CAKE42177,8
15,birthday/black-forest-cakes,F17-CAKECONH253,9
15,birthday/black-forest-cakes,CAKE42307,10
15,birthday/black-forest-cakes,CAKE41936,11
15,birthday/black-forest-cakes,CAKE149,12
15,birthday/black-forest-cakes,CAKE6054,13
15,birthday/black-forest-cakes,CAKE6048,14
16,birthday/butterscoth-cakes,CAKE9796,1
16,birthday/butterscoth-cakes,F17-PHOTOCAKES33,2
16,birthday/butterscoth-cakes,CAKE41971,3
16,birthday/butterscoth-cakes,CAKE8129,4
16,birthday/butterscoth-cakes,F17-CAKECONH49,5
16,birthday/butterscoth-cakes,F17-CAKECONTW693,6
17,birthday/pineapple-cakes,CAKE8632,1
17,birthday/pineapple-cakes,CAKE144,2
17,birthday/pineapple-cakes,CAKE8700,3
17,birthday/pineapple-cakes,F17-MBCAKE38,4
17,birthday/pineapple-cakes,CAKE6898,5
19,birthday/vanilla-cakes,CAKE8621,1
20,birthday/vanilla-cakes,CAKE9330,3
21,birthday/vanilla-cakes,CAKE8930,4
22,birthday/vanilla-cakes,F17-PHOTOCAKES4,5
23,birthday/vanilla-cakes,F17-CAKECONH1018,6
24,birthday/vanilla-cakes,CAKE8639,7
25,birthday/vanilla-cakes,CAKE9471,8
26,birthday/vanilla-cakes,F17-PHOTOCAKES37,9
27,birthday/vanilla-cakes,CAKE42232,2
21,birthday/eggless-cakes,CAKE11763,1
21,birthday/eggless-cakes,CAKE12063,2
21,birthday/eggless-cakes,CAKE38750,3
21,birthday/eggless-cakes,CAKE12101,4
21,birthday/eggless-cakes,CAKE11754,5
21,birthday/eggless-cakes,CAKE10570,6
21,birthday/eggless-cakes,F17-EGGCAKEC83,7
21,birthday/eggless-cakes,F17-EGCAKECONH310,8
22,birthday/flowers,F17-VRTEXFNP182,1
22,birthday/flowers,F17-EXDFNP2005,2
22,birthday/flowers,F17-EXDFNP545,3
22,birthday/flowers,F17-EXFNP29,4
22,birthday/flowers,F17-EXDFNPLW14,5
22,birthday/flowers,F17-EXDFNP541,6
22,birthday/flowers,F17-EXDFNP419,7
23,birthday/flowers-with-cakes,F17-EXDFNPLW14,1
23,birthday/flowers-with-cakes,F17-EXFNP13,2
23,birthday/flowers-with-cakes,F17-EXDFNP2025,3
23,birthday/flowers-with-cakes,F17-EXDFNP599,4
23,birthday/flowers-with-cakes,F17-EXFNP73,5
23,birthday/flowers-with-cakes,F17-EXDFNPLW2,6
23,birthday/flowers-with-cakes,F17-EXFNP77,7
23,birthday/flowers-with-cakes,F17-EXDFNP592,8
23,birthday/flowers-with-cakes,F17-EXDGREETING9,9
23,birthday/flowers-with-cakes,F17-EXDN2,10
23,birthday/flowers-with-cakes,F17-EXDFNP598,11
23,birthday/flowers-with-cakes,F17-EXDFNP2032,12
23,birthday/flowers-with-cakes,F17-EXFNP226,13
23,birthday/flowers-with-cakes,F17-EXDFNP119,14
23,birthday/flowers-with-cakes,F17-EXDFNP583,15
23,birthday/flowers-with-cakes,F17-EXFNP75,16
23,birthday/flowers-with-cakes,F17-EXDFNP2034,17
23,birthday/flowers-with-cakes,F17-EXFNP20,18
23,birthday/flowers-with-cakes,F17-EXDFNP84,19
24,birthday/flowers-with-chocolates,F17-EXFNP14,1
24,birthday/flowers-with-chocolates,F17-EXDFNPLW11,2
24,birthday/flowers-with-chocolates,F17-EXFNP213_CHOCO_BOQ,3
24,birthday/flowers-with-chocolates,F17-EXDFNP2033,4
24,birthday/flowers-with-chocolates,F17-EXDFNP2027,5
24,birthday/flowers-with-chocolates,F17-EXDFNP2020,6
24,birthday/flowers-with-chocolates,17-EXDFNPLW22,7
24,birthday/flowers-with-chocolates,F17-EXFNP235,8
24,birthday/flowers-with-chocolates,F17-EXFNP02,9
24,birthday/flowers-with-chocolates,F17-EXDFNP411,10
24,birthday/flowers-with-chocolates,F17-EXDFNP605,11
24,birthday/flowers-with-chocolates,F17-EXDFNP408,12
24,birthday/flowers-with-chocolates,F17-EXDFNP76252,13
24,birthday/flowers-with-chocolates,F17-EXDFNP499,14
24,birthday/flowers-with-chocolates,F17-EXFNP207,15
26,birthday/flowers-with-sweets,F17-EXDFNPLW16,1
26,birthday/flowers-with-sweets,F17-EXFNP143,2
26,birthday/flowers-with-sweets,F17-EXDFNP591,3
26,birthday/flowers-with-sweets,F17-EXFNP148,4
26,birthday/flowers-with-sweets,F17-EXDFNP588,5
26,birthday/flowers-with-sweets,F17-EXFNP147,6
26,birthday/flowers-with-sweets,F17-EXDFNPLW24,7
30,birthday/gifts-for-boyfriend,GIFTSFNP5592,1
30,birthday/gifts-for-boyfriend,F17-EXFNP39,2
30,birthday/gifts-for-boyfriend,F17-EXFNP45,3
30,birthday/gifts-for-boyfriend,GIFTSFNP2106,4
30,birthday/gifts-for-boyfriend,F17-VRTEXFNP182,5
30,birthday/gifts-for-boyfriend,F17-EXDFNP2005,6
30,birthday/gifts-for-boyfriend,GIFTSFNP749,7
30,birthday/gifts-for-boyfriend,FG98,8
30,birthday/gifts-for-boyfriend,FG7,9
30,birthday/gifts-for-boyfriend,FG26,10
30,birthday/gifts-for-boyfriend,FG161,11
30,birthday/gifts-for-boyfriend,FG5,12
30,birthday/gifts-for-boyfriend,RK939,13
30,birthday/gifts-for-boyfriend,F17-EXDFNP2025,14
30,birthday/gifts-for-boyfriend,F17-EXDFNP70,15
30,birthday/gifts-for-boyfriend,F17-EXDFNP552,16
30,birthday/gifts-for-boyfriend,RK934,17
30,birthday/gifts-for-boyfriend,FG163,18
30,birthday/gifts-for-boyfriend,FG208,19
30,birthday/gifts-for-boyfriend,FG3,20
30,birthday/gifts-for-boyfriend,FG55,21
30,birthday/gifts-for-boyfriend,RK1012,22
30,birthday/gifts-for-boyfriend,FG220,23
30,birthday/gifts-for-boyfriend,F17-EXDFNP71,24
30,birthday/gifts-for-boyfriend,F17-EXDFNP125,25
30,birthday/gifts-for-boyfriend,RK940,26
30,birthday/gifts-for-boyfriend,GIFTSFNP1519,27
30,birthday/gifts-for-boyfriend,FG51,28
30,birthday/gifts-for-boyfriend,FG11,29
30,birthday/gifts-for-boyfriend,F17-EXDFNP477,30
30,birthday/gifts-for-boyfriend,F17-EXDFNP130,31
30,birthday/gifts-for-boyfriend,F17-EXDFNP531,32
30,birthday/gifts-for-boyfriend,F17-EXFNP215,33
30,birthday/gifts-for-boyfriend,FG209,34
30,birthday/gifts-for-boyfriend,FG170,35
30,birthday/gifts-for-boyfriend,FG47,36
30,birthday/gifts-for-boyfriend,GIFTSFNP2021,37
30,birthday/gifts-for-boyfriend,FG24,38
30,birthday/gifts-for-boyfriend,FG28,39
30,birthday/gifts-for-boyfriend,F17-EXDFNP470,40
30,birthday/gifts-for-boyfriend,F17-EXDFNP541,41
