parent_id,category_id,title,description,meta_title,meta_description,meta_keyword
0,49,Online Flower Delivery,"<h2>Online Flower Deliver in India</h2><p>Occasions, special occasions or no occasion's a bouquet of flowers can be gifted for any occasion with online flower delivery services. Be it Birthday, Anniversary, Wedding, Valentine's Day or any other day, flowers are the most suitable gift to ensure a guaranteed smile on your dear one's face, so send flowers to wish them from any part of India. You can order <a href=""/"">flowers online</a> from Bookmyflowers which has a whole new variety of flowers from the crimson velvet flowers to the delicate white Daisies and the colorful Tulips. All these flowers are carefully tied and neatly embraced with a soft paper to keep it as fresh as they have been instantly plucked from the gardens.</p></br><p>All you need to do is just order flowers or a bouquet of flowers and you can firmly believe that we will be delivering it dot on time so that the moment doesn't get spoilt. Adorn it with a beautiful handwritten message to add a little bit of your own creativity and make your dear one feel extra special. You can order from a big bunch to small <a href=""/flower-bouquets"">bouquet of flowers online</a> for your dear one's to make their day larger than life.</p>","Order Bouquet of flowers, Online Flower Delivery, Send Flowers to India",Bookmyflowers offers variety bouquet of flowers online at affordable prices. Place your order to send beautiful flower arrangement in India with our online flower delivery services.,"Online Florist,Bouquet of Flowers,Online Flower Delivery In India, Flower Bouquet, Send flowers to India, Online flower delivery, Flower delivery in India"
0,11,Buy Cakes Online,"<h2>Buy and order cakes online in India</h2><p>Bookmyflowers has emerged as one of the ideal choices for people to avail for professionally managed online cake delivery system. We at Bookmyflowers have made it possible for people to order the most desirable cakes at the cheapest possible rates. We take pride in being the most professional service provider for ordering <a href=""/birthday/cakes"">online cakes for birthday</a>, anniversary in India</strong>. We provide a platform to people to <strong>order cakes online India</strong> and aim to provide the best deals to them. We specialize in all types of cakes to make any occasion memorable.</p></br> <p>In order to place <strong>online order for cake</strong>, all that people need to do is to log in to the website, choose the cakes and place the order through some simple steps. While deciding to <strong>buy cake online</strong>, people can be ensured that the required products would be delivered on time and at the right place. Our rates are extremely affordable which makes people prefer us over others.</p>","Buy and send Cakes to India, Online Cake delivery on order - Bookmyflowers",Order cakes online: Cakes are the showstoppers of any occasion.  Looking for best cakes to buy and send to India than explore our variety of popular cakes for different occasions.,"Cake Delivery Online,Send Cakes India,Cake Delivery India,Buy Cakes Online"
0,135,Same Day Flower Delivery,"<h2>Get Same Day Flowers and Cakes Home Delivery</h2><p>Sending flower is the best way to  express love, gratitude, courtesy and condolences. Bookmyflowers offers you  an opportunity to convey your warmth and love to your dear ones with its  fastest same day cake and flowers home delivery service. We offer a wide range of <a href=""/flower-arrangements"">exclusive flowers arrangement</a> for all types of occasions and the best part is that all our flower arrangements are available for <strong>same day flower delivery</strong>. </p> </br> <p>One can place an online flowers home  delivery order for same day , the next day or for any other day. Our flower  arrangements boast of fresh flowers that are chosen as per sender&rsquo;s choice and  impressively wrapped. Our impressive flower presentation and friendly staff will surely fascinate your dear one. The orders for same day flowers delivery were fulfilled  by local florist that ensures all the flowers were handpicked and smartly arranged. </p></br> <p>Moreover, we deliver every gift along with a personalized card message that adds more value to your gift. So, don&rsquo;t wait! Place order on Bookmyflowers and surprise your loved  ones with our <a href=""/flower-bouquets"">online bouquet</a> of fresh and exotic flowers.We also offer same day cake delivery services for all occasions.</p>",Same day flowers home delivery online - Bookmyflowers,Get same day flower home delivery online! Bookmyflowers offers same day express flowers and cakes home delivery across the country. Avail your flower delivery now.,"Same day Flowers, same day flowers delivery , same day flowers online, same day delivery flowers, same day cake delivery, same day delivery cake, send flowers same day"
7,82,Birthday Gifts Online,"<h2>Buy and send birthday gifts online in India</h2><p>At times you so wish that with a simple look you could have guessed what is inside the box so that you don't have to go through the impatience of tearing down the wrapper, opening the box and meeting your lovely surprise. Such is the magic of a Birthday Gift send by someone, that you are just brimming with excitement. So you can buy best Birthday Gift with a nice sweet thought behind it, it can be a an exotic bunch of<a href=""/birthday/flowers""> birthday flowers</a> which is quite freshly adorned with dew drops to make it glisten like diamond.</p></br><p>Bookmyflowers are known to have been blessed with such creativity that the varied gift choices we have is surely going to make you pick the most suitable for your loved ones. It can be an elegant assortment of colorful bouquets, fresh cakes and <a href=""/birthday/personalized-gifts"">personalized birthday gifts</a> that you can buy to make their days of day to be extraordinarily special. Birthdays are meant for midnight online delivery so we ensure that we do the same and you can also send Birthday Cakes on a specified time as well. Attach a personalized Birthday Card along with your gift to express the love in your heart.</p></br><p>Birthdays are cherished occasions for everyone and people celebrate the day with lots of festivities and joy. It is almost the most joyous occasion in the year with parties, cakes and gifts. But the only problem lies in selecting the right gifts for a loved one as birthdays are very important occasions and not meant to be taken lightly. Our online birthday gifts are a reflection of how much we love and treasure the birthday celebrant. The birthday gifts are tokens of love and affection and they must let our best wishes and admiration show. And for this reason Bookmyflowers brings for you a whole range of exclusive birthday gifts online to showcase your care and affection for a loved one. Our list of birthday gift items range from delectable cakes and chocolates to perfumes and jewelry among others. You can also find personalized birthday gift items such as photo frames, key chains, lockets, coffee mugs and printed cushions. Whether you are looking for <a href=""/birthday/gifts-for-husband"">birthday gifts for husband</a> or birthday gifts for wife, you are sure to find the right choice of gifts at our online store.</p> </br><p>Order your birthday gifts online today and have it delivered to your dear ones on their birthdays. Another advantage we have over other sites is that you can also complement your birthday gifts with flowers of your choice at our online store. We are a renowned florist with years of exceptional service in the gifts delivery business. We provide delivery services to both domestic and international destinations, and we ensure the on-time and pristine delivery of your birthday gifts.</p>",Buy and send best birthday gifts Online in India - Bookmyflowers,Send Birthday gifts at the comfort of your own home. Buy online Birthday Gifts from Bookmyflowers for your friends and families and get online delivery at your doorstep.,"Birthday Gifts, Best Birthday Gifts, Birthday Gifts Online, Send Birthday Gifts Online, Online Birthday Gifts Delivery, Birthday Gifts Delivery in India, Buy Birthday Gifts"
7,125,Personalized Birthday Gifts,"<h2>Online Personalized Birthday Gifts Delivery in India</h2><p>Book My Flowers has emerged to offer amazing products for birthdays. We at Book My Flowers aim to offer personalized <strong>birthday gifts online India</strong> to make the birthdays of the beloved ones very memorable. Book My Flowers offers interesting and extremely <a href=""/birthday/gifts"">unique birthday gifts</a> from its selectively handpicked collection. We offer a way for people to choose birthday gifts from an extensive range of products and send them to the loved ones anywhere in the country and making his/her birthday very special.</p> </br>  <p>Book My Flowers is considered to be the most inexpensive and reliable source of <a href=""/personalized-gifts"">personalized gifts online</a> India. We possess a good degree of professionalism which is reflected in our ability to make fast <strong>birthday gifts online delivery</strong>. We offer simplicity and ease in the personalized birthday gifts online delivery process which has helped us build a good reputation throughout. We offer inexpensive products with superior quality to make the event very special for people.</p>",Buy and Send Personalized Birthday Gifts Online in India,"Add a little human touch with our unique range of personalized gifts which are available online. You can buy and send these online personalized gifts like a canvas, wall clock and a wooden photo frame.","Personalized Gifts,Personalized Gifts India, Personalised Gifts Online, Personalized Birthday Gifts"
7,35,Birthday Chocolates Online,"<h2>Buy and Send Birthday Chocolate Gift Box Online</h2>  <p>Chocolates are a little sweet and a lot more sinful. It has the power of indulging you completely into it, making it almost irresistible for you. They need no occasion you can send chocolates online for Birthday, Valentine&rsquo;s Day, Anniversary and many more. It can express almost any emotion with sugary sweetness and let your dear ones savor it for all times to come.</p>  <p> Send Birthday chocolates to your dear ones from Bookmyflowers and see them cherishing every bite of it with  childlike innocence. It has a rich taste of cocoa mesmerizing you with every bite that you take. We have special heart-shaped <a href=""/chocolate-day/gifts"">chocolates for Valentine&rsquo;s Day</a> which can practically make your loved one fall in love  with you all over again. We have the best birthday chocolates with us which will leave a smooth silken touch on your taste buds.</p> </br> <p> We have bridged the gap of distance with our <strong>online birthday chocolate delivery</strong>. You can now send birthday chocolates online to all your friends and relatives and celebrate it with fun and gaiety. No matter whether it&rsquo;s your friends, family or relatives Birthday or  you are simply missing them, all you need to do is just place the order and  happily wait for them to receive. These chocolates are sure to make them feel happy and will also allow them to cherish it. </p>",Buy birthday chocolates online and send anywhere in India - Bookmyflowers,"Satiate your sweet tooth by ordering chocolates online. Buy and send birthday chocolates in India with chocolate gift hamper for Birthday and any other occasion like Diwali, Christmas and New Year.","Buy Chocolates Online,Online Chocolate Delivery, Buy Chocolates Online India, Send Chocolates Online, Best Chocolates In India,Birthday Chocolates Online"
7,11,Birthday Cakes Online,"<h2>Birthday cakes online delivery in India</h2><p> You might have always ignored the clock's tick tock except one day when your eyes are glued to every inch the needle moves to strike 12 at midnight. It has to be your Birthday, a day when even the moon seems to be within your reach and surprises form the normal course of the day. Despite the varying age group and the relationship you share, be it your friend, husband, wife, boyfriend, girlfriend or your colleague, Birthdays have a way of making your expectation reach the upper limit. It is time to enthrall them dot at midnight with an <strong>online Birthday Cake delivery</strong> from Bookmyflowers.You can also get same day birthday cake delivery online from our web portal.</p></br><p> Our online birthday cakes are known to have been born with an inherent freshness and sponginess that will make you relish every bite of it. Flavors are not a constraint for us be it Chocolate, Strawberry, Blueberry, Mango and Butterscotch just to name a few. If you want to make it extra special you also send special birthday<a href=""/cakes""> cakes online</a> like Photo and Designer Cakes online. These cakes are timely delivered, dot at midnight with a personalized Greeting Card saying everything you have in your heart. You can order 2 kg, 1 kg and <a href=""/cakes"">half kg cakes</a> for your birthday celebration. One can also book an online order of birthday cake and flowers combo to surprise their loved ones.</p> </br><p> If you are looking for delectable Birthday cake online, your search should end with Bookmyflowers. We are not only the most trusted brand but name but at the same time have a wide variety of flavours to choose from such as Vanilla, Butterscotch, Red Velvet and Chocolate amongst others. If waiting is not an option then you can go for our flexible delivery options such as same day, midnight and even fixed time delivery too.</p>","Online birthday cakes delivery, Order Your cake now ! - Bookmyflowers",Order scrumptious and mouth-watering Birthday cakes online which can be gifted to your loved ones. Birthday Cakes delivery can now be done online from anywhere in India.,"Birthday Cakes, Birthday Cakes Delivery, Order Birthday Cakes Online, Online Birthday Cake Delivery, Birthday Cakes Online, Buy Birthday Cakes online, Send Birthday Cake"
7,49,Birthday Flowers Online,"<h2>Send Happy Birthday Flowers Online in  India</h2><p>A glamorous mix of flowers being embraced by a satin ribbon to form a beautiful bow is sure to bring a guaranteed smile on your face and that is the least we could expect to gift our loved ones on his/her Birthday with online birthday flowers delivery options. With Bookmyflowers, you can pick and send birthday flowers online which our florists have carefully chosen so that it forms the <a href=""/birthday/gifts"">best Birthday gift</a> tantalizing your loved ones with its pure fragrance. We take a little pride and arrogance in getting the flower delivery done dot on time, be it at midnight or any fixed time of your choice.</p></br> <p>You can send the right Happy Birthday flowers online which has a variety that is as large as the human race, starting from the colorful Gerberas to cute Daisies to sturdy orchids to the lovely roses. All these flowers are cuddled by a soft protective paper so that even the lightest human touch cannot spoil the freshness of the flowers. Personalize it with a Happy Birthday Card showered with countless love and blessings.</p></br><p><a href=""/birthday/cakes"">Birthday Cakes</a> are almost an integral part of the occasion. It is time to add a little bit more than the sweetness of the occasion and combine it with the freshness by sending Birthday Flowers online. Make your loved one feel more loved by indulging themselves in the mild aroma of the Happy Birthday flowers which are freshly plucked and hand tied with a personalize message.</p>","Online Birthday Flowers Delivery In India, Send fresh Flower Online",Get online birthday flowers delivery in easy step. Send fresh flower online across India to wish a happy birthday to your near and dear one's.,"Birthday Flowers, Birthday Flowers Delivery, Birthday Flowers Online, Send Birthday Flowers, Online Birthday Flowers Delivery In India , Flowers for Birthday"
7,91,Birthday Gifts For Husband,"<h2>Online Birthday gifts for husband</h2><p>If a wife is looking forward to make her husband's birthday very memorable and special with a gift, then Bookmyflowers is an amazing choice for them. We at Bookmyflowers have come up with an innovative and unique collection of <strong>birthday gifts for husband</strong>. We aim to provide a unique platform for people to choose gifts from an extensive collection. Our specifically handpicked collection of items is sure to make the birthday very special for husbands. </p> </br><p>Flowers are the traditional way for conveying our emotions and they remain as popular today.  Choose from these wonderful options of flowers in exotic combos with chocolates and cakes and gift them to the special man in your life. The birthday cakes are also available in various sizes and flavors such as vanilla and chocolate.  They will be the perfect accompaniment and complement your birthday celebrations.Make his special day more memorable with personalized gifts such as our Metal photo keychain and wooden table clock. Emboss them with a photograph of you both and cherish the moment forever.</p></br><p>Bookmyflowers aims to provide superior quality products at an extremely affordable price. We possess a good degree of professionalism which is seen in the way we provide and deliver the products to our customers. Our aim is to build a long term relationship with our customers by way of providing the most desired products. Timeliness and easy <a href=""same-day-delivery"">same day delivery</a> is something we pay great attention to. Our superior quality <a href=""/birthday/gifts"">birthday gifts</a> for husband are sure to make the occasion very special and memorable for people.</p>",Best birthday gifts for husband online - Bookmyflowers,Choosing birthday gifts for husband can get really confusing but we have the all kind of items that you can gift to your husband for his birthday.,"Birthday Gifts For Husband, Birthday Gifts For Men, Birthday Gifts For Friend"
7,95,Birthday Gifts For Wife,"<h2>Online Birthday gifts for wife</h2><p>If a husband wishes to make his wife's birthday special and memorable with an amazing gift, then Bookmyflowers is simply the perfect choice.Bookmyflowers have emerged to provide a platform for people to explore and select a unique collection of <strong>birthday gifts for wife</strong>. We are known for our <a href=""/birthday/gifts"">innovative birthday gift</a> ideas which would make the wife feel very special.Bookmyflowers offers an extensive collection of birthday gifts for wife to choose from.</p> </br><p>From exotic flower arrangements to gift combos with chocolates and teddy bears, Bookmyflowers brings you the ultimate range of Birthday gifts for wife. Give her a priceless gift of cakes and flowers with the Sweet Dreams combo that encompasses a bunch of twelve red roses in cellophane packing, a chocolate truffle cake and one six inches teddy bear. The Gorgeous Kit is a unique birthday gift hamper for wife with Kajal Magique and Color Show Golden Nail Lacquer from the house of L'Oreal Paris and Maybelline New York along with a pink lipstick and a small box of 20 pads of nail polish remover. Our gift combos are selected and arranged by experts and skilled professionals.</p></br><p>Superior quality and an affordable price are the main reasons for the growing preference of Bookmyflowers. Our professionalism is reflected in the way we offer and deliver the birthday gifts to our customers. We aim to build a rapport with our customers by delivering what is most desired by them. Timeliness is something we do not compromise with at any cost. Our online delivery system provides great ease and convenience to our customers in choosing and getting the products within a reasonable time. </p>",Best Birthday gifts for wife - Bookmyflowers,Select best birthday gifts for your wife from our exclusive collection of birthday gift items. Make your wife smile by sending a gift online on her birthday.,"best gifts for wife, Online Birthday Gifts For wife ,Birthday Gifts For Wife,Gift Ideas For Wife, Gifts For Her,Best Birthday Gift For Wife,Gift Ideas For Her"
